UID,VER,VALID,Age,Gender,Smartphone,Wearable,Q1,Q2.1,Q2.2,Q2.3,Q2.4,Q3,Q3.1,Q3.2,Q3.3,Q3.4,Q4,Q5,Q6,Q7,Q8,Q9,Q10
P19,2,,24,M,SM-G998N,Galaxy Watch4,"보통 아침에 월평 셔틀을 타고 출근하는데, 셔틀을 타러 갈 때 6-7분, 셔틀에서 내려 연구실까지 7-8분 정도 걸어서 이동합니다. 점심을 먹고 보통 카페를 가는데 이 때도 왕복 1000-1500 걸음 정도를 걷는 것 같습니다. 주에 2-3번 E18 건물을 가는데 이 때도 왕복 2000 걸음 정도를 걷습니다. 퇴근 때는 불규칙한데 버스를 타는 경우는 출근 때와 비슷하게 걸어서 퇴근합니다. 주말에는 버스나 셔틀을 이용하지 않고 걸어서 출퇴근하는 경우가 많습니다.",B,P,B,P,"Sleep, DAT, Exercise",1,0,1,1,Enter,10:30,21:30,10:00,2:30,"주말에 집에만 있을 때는 운동할 때 운동 측정을 위해 착용하고, 운동을 하지 않으면 착용하지 않습니다. 하지만 집에만 있는 경우는 거의 없고 연구실을 나가기 때문에 보통 착용하는 편입니다.","Shower, Home"
P20,1,0,21,M,SM-G973N,,알바로 리조트에서 분리수거 등 청소를 하며 걸어다니며 이동합니다퇴근 후 귀가하는 길에 30분정도 걷습니다,,,,,,,,,,,10:00,18:00,9:00,2:00,주로 주말에는 걸어다니며 시내에서 놀면서 집에 올 때 까지 약 50분정도 걷는 것 같습니다,"Sleep, Home, Shower"
P21,1,,29,M,SM-G975N,Galaxy Watch,걸어서 출퇴근하는 경우가 종종 있으며 사무실에서 근무하며 자주 움직임퇴근 후 10분 이상 걸어다니며 가끔 자전거를 탑니다.,,,,,,,,,,,9:00,20:20,7:40,23:20,한 시간 정도의 동네 산책 혹은 라이딩을 합니다.,"Sleep, Home, Shower "
P22,2,,19,M,SM-G986N,Galaxy Watch Active2,등하교 및 점심 저녁 먹으러 나갈때 걸음. 근 1달정도는 꾸준히 저녁에 걷거나 뛰는중,B,P,B,P,"Notf, Exercise",0,1,1,0,,,,9:00,24:00:00,"외출시 항상 착용, 수면시 착용",Shower
P23,1,,27,M,SM-N976N,Galaxy Watch Active2,"주로 사무실에 앉아서 컴퓨터를 사용하면서 일하고, 워치 상에서 움직이라는 알림이 오면 화장실을 간다던지 물을 마시러 일어난다던지 조금 움직여 보려고 노력합니다.퇴근 후 5분거리의 헬스장으로 걸어가거나 자전거를 타고 이동하여 운동을 하고 저녁을 먹는 날이 2~3일 정도 되고, 저녁을 먹고 30분 이상 산책을 한 후 운동을 하는 날이 2~3일 정도 됩니다.",,,,,,,,,,,8:00,17:00,7:20,24:00:00,"주말에는 주로 집에 있거나, 쇼핑몰이나 마트 등을 돌아다닙니다.","Sleep, Work, Exercise, Home"
P24,2,,25,M,SM-G991N,Galaxy Watch4,사무 업무 중 다른 부서에서 물건을 대여해오는 일이 있어서 자주 걸어갑니다.,N,P,B,P,"Exercise, DAT",1,0,1,0,Enter,9:00,19:00,8:00,24:00:00,운전할 때나 외부 외출할 때만 착용합니다.,Shower
P25,1,,24,W,iPhone 6,Galaxy Fit2,"주로 누워있거나 앉아있음. 운동 일주일에 3-4번일주일에 두번 피티
일주일에 한두번 러닝",,,,,,,,,,,12:00,18:00,12:00,2:00,산책이나 러닝 30분,"Home, Shower"
P26,2,,20,M,SM-F907N,Galaxy Watch4 Classic,"강의를 들으러 갈때 등하굣길이나 강의실 이동, 간단한 외출때 걷습니다",P,B,B,P,"Exercise, DAT",1,0,1,0,Enter,10:00,19:00,9:00,3:00,주말에는 특졀하게 외출하지 않는 이상은 착용하지 않습니다.,"Shower, Toilet, Sleep"
P27,2,,59,M,SM-N960N,"Galaxy Watch4 Classic, Galaxy Fit2",사무실 출근위해 지하철 타기전 및 지하철내린후 사무실로 가기위해 걸음. 퇴근시에는 집앞 지하철 1구역전 내려 걸어서 집으로 옴,W,B,B,W,Notf,0,1,0,0,Enter,8:20,18:10,5:30,24:00:00,항상 착용,Shower
P28,2,,22,W,SM-N986N,Galaxy Watch4,"외출을 하지 않을 때는 특별이 걷지 않습니다. 외출시에도 대부분 킥보드로 이동합니다. 저녁시간에 가끔 걸어서 저녁을 먹으러 가기도 합니다. 주중에 운동을 하며, 운동할 때 워밍업으로 10분정도 걷습니다.",B,N,B,B,"Notf, Exercise, Sleep",0,1,1,1,Enter,,,10:30,3:00,보통 하루종일 착용합니다.,Shower
