,age,gender,w1,w2,w3,w4,notf,track,always,invalid,old,sleep,wake,work,home,uid
75,28,M,,,,,,,1,0,1,2.0,7.0,9.0,18.0,75
76,34,M,w,b,b,b,1.0,0.0,1,0,0,21.0,3.0,7.5,18.0,76
77,19,M,,,,,,,0,0,1,4.0,13.0,13.0,22.0,77
78,29,M,p,b,b,p,0.0,1.0,0,0,0,23.5,8.0,8.0,18.0,78
79,28,M,,,,,,,0,0,1,1.0,7.5,9.0,22.0,79
80,43,M,n,p,b,b,0.0,1.0,0,0,0,23.0,6.0,7.0,18.0,80
81,26,M,,,,,,,1,0,1,3.0,10.0,11.0,23.0,81
82,29,M,,,,,,,0,1,1,0.0,7.0,8.5,18.0,82
83,27,M,,,,,,,0,0,1,2.0,9.0,12.0,21.0,83
84,46,W,w,w,b,b,0.0,1.0,0,0,0,1.0,6.0,9.5,18.0,84
85,43,W,,,,,,,0,1,1,23.0,7.0,8.0,6.0,85
86,39,M,,,,,,,0,0,1,0.0,5.67,7.0,6.0,86
87,22,M,n,b,b,b,0.0,1.0,0,0,0,1.5,7.67,8.0,18.0,87
88,23,M,w,w,w,w,0.0,1.0,1,0,0,3.0,10.0,10.5,17.0,88
89,35,M,,,,,,,0,0,1,0.0,7.0,8.5,17.0,89
90,26,W,,,,,,,1,0,1,0.0,8.0,11.0,18.0,90
91,28,M,,,,,,,0,0,1,0.0,8.5,9.5,21.0,91
92,16,M,w,b,w,p,1.0,0.0,1,1,0,0.0,7.67,8.0,17.0,92
93,35,M,,,,,,,1,1,1,0.0,7.0,8.5,18.0,93
94,31,W,p,p,b,b,1.0,0.0,1,0,0,0.0,6.67,7.67,18.0,94
95,22,M,p,p,b,p,1.0,1.0,1,0,0,23.5,8.5,9.0,16.0,95
96,22,M,,,,,,,1,0,1,23.0,8.0,8.0,16.0,96
97,35,M,p,p,w,p,1.0,1.0,0,0,0,0.0,6.0,8.0,20.0,97
98,25,M,,,,,,,1,0,1,0.0,8.0,9.0,17.0,98
