Topic # 14
Doc: (21, Timestamp('2021-12-07 00:00:00')), Topic Prob: 0.98
Doc: (44, Timestamp('2021-11-06 00:00:00')), Topic Prob: 0.98
Doc: (92, Timestamp('2021-08-06 00:00:00')), Topic Prob: 0.98
Doc: (52, Timestamp('2021-08-04 00:00:00')), Topic Prob: 0.98
Doc: (55, Timestamp('2021-10-27 00:00:00')), Topic Prob: 0.98
Doc: (24, Timestamp('2021-11-27 00:00:00')), Topic Prob: 0.98
Doc: (56, Timestamp('2021-08-06 00:00:00')), Topic Prob: 0.98
Doc: (56, Timestamp('2021-08-11 00:00:00')), Topic Prob: 0.98
Doc: (27, Timestamp('2021-11-09 00:00:00')), Topic Prob: 0.98
Doc: (11, Timestamp('2021-11-01 00:00:00')), Topic Prob: 0.98
Doc: (56, Timestamp('2021-08-02 00:00:00')), Topic Prob: 0.98
Doc: (46, Timestamp('2021-11-18 00:00:00')), Topic Prob: 0.98
Doc: (89, Timestamp('2021-11-18 00:00:00')), Topic Prob: 0.98
Doc: (54, Timestamp('2021-08-16 00:00:00')), Topic Prob: 0.98
Doc: (9, Timestamp('2021-11-24 00:00:00')), Topic Prob: 0.98
Doc: (44, Timestamp('2021-11-17 00:00:00')), Topic Prob: 0.98
Doc: (2, Timestamp('2021-11-18 00:00:00')), Topic Prob: 0.98
Doc: (2, Timestamp('2021-11-15 00:00:00')), Topic Prob: 0.98
Doc: (56, Timestamp('2021-07-29 00:00:00')), Topic Prob: 0.98
Doc: (25, Timestamp('2021-11-29 00:00:00')), Topic Prob: 0.98
Doc: (88, Timestamp('2021-11-03 00:00:00')), Topic Prob: 0.98
Doc: (90, Timestamp('2021-07-15 00:00:00')), Topic Prob: 0.98
Doc: (92, Timestamp('2021-08-16 00:00:00')), Topic Prob: 0.98
Doc: (88, Timestamp('2021-10-26 00:00:00')), Topic Prob: 0.98
Doc: (19, Timestamp('2021-11-14 00:00:00')), Topic Prob: 0.98
Doc: (32, Timestamp('2021-11-01 00:00:00')), Topic Prob: 0.98
Doc: (21, Timestamp('2021-12-09 00:00:00')), Topic Prob: 0.98
Doc: (21, Timestamp('2021-11-25 00:00:00')), Topic Prob: 0.98
Doc: (52, Timestamp('2021-07-22 00:00:00')), Topic Prob: 0.98
Doc: (2, Timestamp('2021-11-25 00:00:00')), Topic Prob: 0.98
Doc: (52, Timestamp('2021-07-23 00:00:00')), Topic Prob: 0.98
Doc: (88, Timestamp('2021-11-05 00:00:00')), Topic Prob: 0.98
Doc: (18, Timestamp('2021-08-10 00:00:00')), Topic Prob: 0.98
Doc: (46, Timestamp('2021-11-19 00:00:00')), Topic Prob: 0.98
Doc: (89, Timestamp('2021-11-19 00:00:00')), Topic Prob: 0.98
Doc: (0, Timestamp('2021-08-03 00:00:00')), Topic Prob: 0.98
Doc: (55, Timestamp('2021-11-06 00:00:00')), Topic Prob: 0.98
Doc: (9, Timestamp('2021-11-19 00:00:00')), Topic Prob: 0.98
Doc: (1, Timestamp('2021-07-26 00:00:00')), Topic Prob: 0.98
Doc: (9, Timestamp('2021-12-11 00:00:00')), Topic Prob: 0.98
Doc: (27, Timestamp('2021-11-11 00:00:00')), Topic Prob: 0.98
Doc: (8, Timestamp('2021-11-20 00:00:00')), Topic Prob: 0.98
Doc: (11, Timestamp('2021-11-08 00:00:00')), Topic Prob: 0.98
Doc: (9, Timestamp('2021-12-06 00:00:00')), Topic Prob: 0.98
Doc: (16, Timestamp('2021-11-20 00:00:00')), Topic Prob: 0.98
