,run_step,walk_step,timestamp,count,speed,distance,calorie,uuid,device
0,0,51,2021-07-19 07:49:00,51,1.4722222,39.4,2.01,H+Z7fnaA5S,phone
1,0,37,2021-07-19 07:49:00,37,1.4722222,28.58,1.44,0wPaUv5+uD,watch
2,0,41,2021-07-19 07:50:00,41,1.2963494,31.009998,1.61,H+Z7fnaA5S,phone
3,0,35,2021-07-19 07:50:00,35,1.4404126,27.04,1.35,0wPaUv5+uD,watch
4,0,17,2021-07-19 07:51:00,17,0.9722222,12.0,0.66,H+Z7fnaA5S,phone
5,0,13,2021-07-19 07:51:00,13,1.6944444,10.17,0.52,0wPaUv5+uD,watch
6,0,26,2021-07-19 07:52:00,26,1.25,19.84,1.01,H+Z7fnaA5S,phone
7,0,23,2021-07-19 07:52:00,23,1.2222222,16.66,0.99,0wPaUv5+uD,watch
8,0,42,2021-07-19 07:53:00,42,1.3055556,31.71,1.68,H+Z7fnaA5S,phone
9,0,49,2021-07-19 07:53:00,49,1.3333334,36.94,1.88,0wPaUv5+uD,watch
10,0,34,2021-07-19 08:08:00,34,1.3086956,25.17,1.3499999,H+Z7fnaA5S,phone
11,0,25,2021-07-19 08:08:00,25,1.5277778,19.38,0.97,0wPaUv5+uD,watch
12,0,77,2021-07-19 08:09:00,96,1.5152756,72.32,3.8,H+Z7fnaA5S,phone
13,0,89,2021-07-19 08:09:00,89,1.4444444,64.22,3.33,0wPaUv5+uD,watch
14,0,108,2021-07-19 08:10:00,113,1.521533,86.630005,4.52,H+Z7fnaA5S,phone
15,0,116,2021-07-19 08:10:00,116,1.4951897,87.737,4.57,0wPaUv5+uD,watch
16,0,93,2021-07-19 08:11:00,107,1.4577075,82.27,4.25,H+Z7fnaA5S,phone
17,1,113,2021-07-19 08:11:00,114,1.5622163,89.669,4.45,0wPaUv5+uD,watch
18,0,67,2021-07-19 08:12:00,104,1.5434912,67.09999,4.149999,H+Z7fnaA5S,phone
19,28,83,2021-07-19 08:12:00,111,1.8611112,90.12,5.33,0wPaUv5+uD,watch
20,0,26,2021-07-19 08:13:00,27,1.4189328,20.64,1.04,H+Z7fnaA5S,phone
21,0,44,2021-07-19 08:13:00,44,1.25,32.72,1.73,0wPaUv5+uD,watch
22,0,66,2021-07-19 08:14:00,87,1.5,61.2,4.56,H+Z7fnaA5S,phone
23,0,79,2021-07-19 08:14:00,79,1.5,54.43,4.14,0wPaUv5+uD,watch
24,0,16,2021-07-19 08:15:00,64,1.2705216,32.39,5.8199997,H+Z7fnaA5S,phone
25,0,65,2021-07-19 08:15:00,65,1.3515518,29.86,6.06,0wPaUv5+uD,watch
26,2,11,2021-07-19 08:16:00,13,2.0555556,11.14,0.64,0wPaUv5+uD,watch
27,0,17,2021-07-19 08:38:00,17,1.3611112,12.93,0.65,0wPaUv5+uD,watch
28,0,10,2021-07-19 08:47:00,10,1.6111112,7.9,0.36,0wPaUv5+uD,watch
29,0,10,2021-07-19 10:12:00,10,1.5833334,7.86,0.37,0wPaUv5+uD,watch
30,0,11,2021-07-19 10:20:00,11,1.5833334,8.64,0.4,0wPaUv5+uD,watch
31,0,10,2021-07-19 11:26:00,10,1.1111112,7.2,0.38,0wPaUv5+uD,watch
32,0,40,2021-07-19 12:17:00,40,1.3611112,30.78,1.55,H+Z7fnaA5S,phone
33,0,40,2021-07-19 12:17:00,40,1.3976061,30.41,1.54,0wPaUv5+uD,watch
34,0,38,2021-07-19 12:18:00,74,1.5277778,48.25,2.95,H+Z7fnaA5S,phone
35,0,78,2021-07-19 12:18:00,78,1.6171639,47.4,2.86,0wPaUv5+uD,watch
36,0,28,2021-07-19 12:19:00,28,1.1436006,20.6,1.1099999,H+Z7fnaA5S,phone
37,0,22,2021-07-19 12:19:00,22,1.4444444,16.95,0.84,0wPaUv5+uD,watch
38,0,44,2021-07-19 12:20:00,62,1.1797277,41.57,2.4699996,H+Z7fnaA5S,phone
39,0,56,2021-07-19 12:20:00,56,1.1944444,40.77,2.25,0wPaUv5+uD,watch
40,0,49,2021-07-19 12:21:00,72,1.289098,47.82,4.4599996,H+Z7fnaA5S,phone
41,0,58,2021-07-19 12:21:00,65,1.247598,48.15,2.5,0wPaUv5+uD,watch
42,0,12,2021-07-19 12:22:00,30,1.3388002,16.02,2.7499995,H+Z7fnaA5S,phone
43,0,40,2021-07-19 12:22:00,33,1.3039907,17.481,2.73,0wPaUv5+uD,watch
44,0,36,2021-07-19 12:23:00,38,1.2749677,28.65,1.49,H+Z7fnaA5S,phone
45,0,15,2021-07-19 12:23:00,15,1.1388888,10.87,0.56,0wPaUv5+uD,watch
46,0,37,2021-07-19 12:24:00,61,1.4722222,39.48,2.41,H+Z7fnaA5S,phone
47,7,78,2021-07-19 12:24:00,85,2.4444444,69.21,3.68,0wPaUv5+uD,watch
48,0,20,2021-07-19 12:26:00,20,1.2222222,15.01,0.79,H+Z7fnaA5S,phone
49,0,55,2021-07-19 12:34:00,55,1.4400368,41.989998,2.1799998,H+Z7fnaA5S,phone
50,0,44,2021-07-19 12:34:00,44,1.5833334,35.15,1.71,0wPaUv5+uD,watch
51,0,68,2021-07-19 12:35:00,68,1.3590578,51.840004,2.7099996,H+Z7fnaA5S,phone
52,0,69,2021-07-19 12:35:00,69,1.4385185,52.688,2.72,0wPaUv5+uD,watch
53,0,38,2021-07-19 12:36:00,54,1.3888888,37.33,2.98,H+Z7fnaA5S,phone
54,0,65,2021-07-19 12:36:00,65,1.4444444,44.88,3.45,0wPaUv5+uD,watch
55,0,36,2021-07-19 12:39:00,36,1.4444444,27.48,1.42,H+Z7fnaA5S,phone
56,0,37,2021-07-19 12:39:00,37,1.4166666,28.12,1.42,0wPaUv5+uD,watch
57,0,29,2021-07-19 12:40:00,29,1.3333334,21.94,1.15,H+Z7fnaA5S,phone
58,0,30,2021-07-19 12:40:00,30,1.2155991,22.04,1.2,0wPaUv5+uD,watch
59,0,46,2021-07-19 12:41:00,63,1.4748746,44.240005,3.3600001,H+Z7fnaA5S,phone
60,0,63,2021-07-19 12:41:00,63,1.4080584,42.46,3.6,0wPaUv5+uD,watch
61,0,25,2021-07-19 12:48:00,25,1.3611112,18.79,0.96,H+Z7fnaA5S,phone
62,0,25,2021-07-19 12:48:00,25,1.3611112,18.86,0.96,0wPaUv5+uD,watch
63,0,45,2021-07-19 12:49:00,65,1.5555556,45.51,2.54,H+Z7fnaA5S,phone
64,10,64,2021-07-19 12:49:00,74,1.8888888,60.71,3.26,0wPaUv5+uD,watch
65,0,11,2021-07-19 13:32:00,11,1.1666666,7.9,0.4,0wPaUv5+uD,watch
66,0,12,2021-07-19 13:56:00,12,2.0277777,10.55,0.6,0wPaUv5+uD,watch
67,0,11,2021-07-19 13:58:00,11,1.0555556,7.73,0.53,0wPaUv5+uD,watch
68,0,21,2021-07-19 14:44:00,21,1.6666666,16.45,0.77,0wPaUv5+uD,watch
69,0,29,2021-07-19 14:45:00,29,1.5038803,22.687,1.13,0wPaUv5+uD,watch
70,0,46,2021-07-19 14:47:00,46,1.4722222,35.62,1.81,0wPaUv5+uD,watch
71,0,39,2021-07-19 14:48:00,39,1.3333334,29.26,1.53,0wPaUv5+uD,watch
72,0,7,2021-07-19 14:49:00,7,1.4166666,5.4,0.27,0wPaUv5+uD,watch
73,0,10,2021-07-19 15:32:00,10,1.6944444,7.99,0.37,0wPaUv5+uD,watch
74,0,21,2021-07-19 15:34:00,21,1.0277778,14.97,0.8,0wPaUv5+uD,watch
75,0,16,2021-07-19 15:51:00,16,1.3611112,12.26,0.62,0wPaUv5+uD,watch
76,0,38,2021-07-19 15:56:00,38,1.6111777,30.048,1.49,0wPaUv5+uD,watch
77,0,56,2021-07-19 15:57:00,56,1.4722222,42.75,2.2,0wPaUv5+uD,watch
78,0,49,2021-07-19 16:05:00,49,1.4931887,37.227,1.97,0wPaUv5+uD,watch
79,0,16,2021-07-19 16:06:00,16,1.6944444,12.8,0.64,0wPaUv5+uD,watch
80,0,15,2021-07-19 16:14:00,15,1.7222222,12.03,0.55,0wPaUv5+uD,watch
81,0,16,2021-07-19 16:29:00,16,1.1388888,11.5,0.62,0wPaUv5+uD,watch
82,0,10,2021-07-19 16:42:00,10,1.25,7.33,0.4,0wPaUv5+uD,watch
83,0,105,2021-07-19 16:59:00,105,1.3735836,73.488,4.16,0wPaUv5+uD,watch
84,0,23,2021-07-19 17:00:00,23,1.1944444,16.62,0.94,0wPaUv5+uD,watch
85,0,13,2021-07-19 17:02:00,13,1.3611112,9.79,0.49,0wPaUv5+uD,watch
86,0,11,2021-07-19 17:04:00,11,0.9444444,7.63,0.43,0wPaUv5+uD,watch
87,0,80,2021-07-19 17:05:00,80,1.3758104,52.09,4.37,0wPaUv5+uD,watch
88,0,10,2021-07-19 17:12:00,10,1.4444444,7.63,0.38,0wPaUv5+uD,watch
89,0,31,2021-07-19 17:20:00,31,1.1944444,22.58,1.23,0wPaUv5+uD,watch
90,0,14,2021-07-19 17:22:00,14,1.4166666,10.76,0.48,0wPaUv5+uD,watch
91,0,10,2021-07-19 17:26:00,10,1.5833334,7.98,0.31,0wPaUv5+uD,watch
92,0,26,2021-07-19 17:28:00,26,1.1666666,19.68,1.0,H+Z7fnaA5S,phone
93,0,26,2021-07-19 17:28:00,26,1.0833334,18.61,1.09,0wPaUv5+uD,watch
94,0,64,2021-07-19 17:29:00,93,1.3333334,61.55,3.71,H+Z7fnaA5S,phone
95,0,87,2021-07-19 17:29:00,87,1.3055556,59.51,3.46,0wPaUv5+uD,watch
96,0,55,2021-07-19 17:30:00,55,1.1666666,40.52,2.17,H+Z7fnaA5S,phone
97,0,56,2021-07-19 17:30:00,56,1.1388888,40.5,2.26,0wPaUv5+uD,watch
98,0,8,2021-07-19 17:32:00,8,1.0000001,5.69,0.32,H+Z7fnaA5S,phone
99,0,39,2021-07-19 17:33:00,39,1.0277778,28.33,1.55,H+Z7fnaA5S,phone
100,0,10,2021-07-19 17:33:00,10,1.1388888,7.28,0.37,0wPaUv5+uD,watch
101,0,46,2021-07-19 17:36:00,46,1.1111112,33.71,1.83,H+Z7fnaA5S,phone
102,0,28,2021-07-19 17:36:00,28,1.2222222,20.64,1.06,0wPaUv5+uD,watch
103,0,56,2021-07-19 17:37:00,94,1.2131188,59.970016,5.799999,H+Z7fnaA5S,phone
104,0,110,2021-07-19 17:37:00,110,1.4444444,68.37,6.95,0wPaUv5+uD,watch
105,0,86,2021-07-19 17:38:00,98,1.3380226,72.26999,4.1399994,H+Z7fnaA5S,phone
106,0,103,2021-07-19 17:38:00,103,1.3611112,78.04,4.0,0wPaUv5+uD,watch
107,0,107,2021-07-19 17:39:00,107,1.3535,81.21,4.28,H+Z7fnaA5S,phone
108,0,108,2021-07-19 17:39:00,108,1.3611112,81.53,4.18,0wPaUv5+uD,watch
109,0,73,2021-07-19 17:40:00,100,1.4722222,74.27,4.32,H+Z7fnaA5S,phone
110,0,101,2021-07-19 17:40:00,101,1.5222572,76.59,3.95,0wPaUv5+uD,watch
111,0,26,2021-07-19 17:41:00,26,1.3888888,19.97,1.01,H+Z7fnaA5S,phone
112,0,28,2021-07-19 17:41:00,28,1.4444444,21.61,1.09,0wPaUv5+uD,watch
113,0,35,2021-07-19 17:59:00,35,1.3333334,26.33,1.38,H+Z7fnaA5S,phone
114,0,32,2021-07-19 17:59:00,32,1.4166666,24.38,1.23,0wPaUv5+uD,watch
115,0,48,2021-07-19 18:00:00,48,1.2648088,36.000008,1.8399997,H+Z7fnaA5S,phone
116,0,52,2021-07-19 18:00:00,52,1.2777778,38.6,2.01,0wPaUv5+uD,watch
117,0,16,2021-07-19 18:01:00,16,1.1111112,11.47,0.64,H+Z7fnaA5S,phone
118,0,23,2021-07-19 18:01:00,23,1.2777778,17.21,0.86,0wPaUv5+uD,watch
119,0,16,2021-07-19 18:02:00,16,1.0277778,11.64,0.63,H+Z7fnaA5S,phone
120,0,15,2021-07-19 18:02:00,15,1.1388888,11.01,0.58,0wPaUv5+uD,watch
121,0,24,2021-07-19 18:04:00,24,1.230117,17.59,0.96000004,H+Z7fnaA5S,phone
122,0,38,2021-07-19 18:04:00,38,1.2222222,27.51,1.51,0wPaUv5+uD,watch
123,0,18,2021-07-19 18:13:00,18,1.25,12.9,0.69,H+Z7fnaA5S,phone
124,0,31,2021-07-19 18:14:00,31,1.343664,23.670004,1.21,H+Z7fnaA5S,phone
125,0,30,2021-07-19 18:14:00,30,1.3888888,22.38,1.12,0wPaUv5+uD,watch
126,0,27,2021-07-19 18:15:00,27,1.057292,19.87,1.06,H+Z7fnaA5S,phone
127,0,10,2021-07-19 18:15:00,10,1.5833334,7.94,0.45,0wPaUv5+uD,watch
128,0,14,2021-07-19 18:16:00,14,1.2222222,10.42,0.55,H+Z7fnaA5S,phone
129,0,17,2021-07-19 18:16:00,17,1.3046422,12.72,0.67,0wPaUv5+uD,watch
130,0,7,2021-07-19 18:18:00,7,0.9166667,5.03,0.28,H+Z7fnaA5S,phone
131,0,9,2021-07-19 18:53:00,9,1.111111,6.49,0.36,H+Z7fnaA5S,phone
132,0,15,2021-07-19 19:30:00,15,1.3609337,11.28,0.59,H+Z7fnaA5S,phone
133,0,8,2021-07-19 19:42:00,8,0.9166667,5.65,0.32,H+Z7fnaA5S,phone
134,0,14,2021-07-19 19:47:00,14,1.3333334,10.55,0.55,H+Z7fnaA5S,phone
135,0,16,2021-07-19 20:27:00,16,1.1388888,11.75,0.62,H+Z7fnaA5S,phone
136,0,29,2021-07-19 20:32:00,30,1.0764803,21.719994,1.19,H+Z7fnaA5S,phone
137,0,1,2021-07-19 20:37:00,0,0.0,0.0,0.0,H+Z7fnaA5S,phone
138,0,7,2021-07-19 20:57:00,7,1.4444444,5.46,0.26,H+Z7fnaA5S,phone
139,0,13,2021-07-20 07:44:00,13,1.0555556,9.32,0.53,0wPaUv5+uD,watch
140,0,10,2021-07-20 07:45:00,10,0.8611111,6.8,0.45,0wPaUv5+uD,watch
141,0,10,2021-07-20 07:46:00,10,1.4444444,7.78,0.37,0wPaUv5+uD,watch
142,0,45,2021-07-20 07:47:00,45,1.25,33.8,1.77,H+Z7fnaA5S,phone
143,0,44,2021-07-20 07:47:00,44,1.2777778,32.85,1.7,0wPaUv5+uD,watch
144,0,44,2021-07-20 07:48:00,44,1.2994227,33.250004,1.7599999,H+Z7fnaA5S,phone
145,0,31,2021-07-20 07:48:00,31,1.3055556,23.25,1.18,0wPaUv5+uD,watch
146,0,74,2021-07-20 07:59:00,74,1.1661727,53.549995,2.8300002,H+Z7fnaA5S,phone
147,0,55,2021-07-20 07:59:00,55,1.25,40.4,2.14,0wPaUv5+uD,watch
148,0,100,2021-07-20 08:00:00,107,1.3411666,80.47,4.3,H+Z7fnaA5S,phone
149,0,105,2021-07-20 08:00:00,105,1.3143333,78.86,4.09,0wPaUv5+uD,watch
150,0,108,2021-07-20 08:01:00,108,1.4444444,83.16,4.31,H+Z7fnaA5S,phone
151,0,112,2021-07-20 08:01:00,112,1.4383334,86.3,4.48,0wPaUv5+uD,watch
152,0,104,2021-07-20 08:02:00,104,1.3063333,78.38,4.15,H+Z7fnaA5S,phone
153,0,106,2021-07-20 08:02:00,106,1.4074417,81.373,4.16,0wPaUv5+uD,watch
154,0,61,2021-07-20 08:03:00,101,1.5277778,67.09,4.01,H+Z7fnaA5S,phone
155,19,92,2021-07-20 08:03:00,111,1.75,83.95,4.93,0wPaUv5+uD,watch
156,0,60,2021-07-20 08:04:00,60,1.2203071,44.999996,2.3899999,H+Z7fnaA5S,phone
157,0,68,2021-07-20 08:04:00,68,1.2464653,50.127,2.66,0wPaUv5+uD,watch
158,0,13,2021-07-20 08:05:00,13,1.1944444,9.63,0.51,H+Z7fnaA5S,phone
159,0,3,2021-07-20 08:05:00,3,1.1757312,2.202,0.12,0wPaUv5+uD,watch
160,0,57,2021-07-20 08:07:00,57,1.25,42.77,2.25,H+Z7fnaA5S,phone
161,0,40,2021-07-20 08:07:00,40,1.2777778,29.14,1.59,0wPaUv5+uD,watch
162,0,18,2021-07-20 08:08:00,18,1.1388888,13.24,0.72,H+Z7fnaA5S,phone
163,0,17,2021-07-20 08:08:00,17,1.2041968,12.46,0.67,0wPaUv5+uD,watch
164,0,16,2021-07-20 08:09:00,16,0.8611111,10.93,0.68,0wPaUv5+uD,watch
165,0,11,2021-07-20 08:16:00,11,1.4444444,8.43,0.41,0wPaUv5+uD,watch
166,0,16,2021-07-20 08:17:00,16,1.0555556,11.62,0.63,H+Z7fnaA5S,phone
167,0,23,2021-07-20 08:17:00,23,1.1587769,16.798,0.89,0wPaUv5+uD,watch
168,0,9,2021-07-20 08:20:00,9,1.2222222,6.71,0.35,H+Z7fnaA5S,phone
169,0,11,2021-07-20 08:20:00,11,1.25,8.14,0.41,0wPaUv5+uD,watch
170,0,61,2021-07-20 08:21:00,65,1.2222222,48.74,2.58,H+Z7fnaA5S,phone
171,0,53,2021-07-20 08:21:00,53,1.1944444,38.99,2.12,0wPaUv5+uD,watch
172,0,36,2021-07-20 08:22:00,41,1.3888888,30.33,1.81,H+Z7fnaA5S,phone
173,0,69,2021-07-20 08:22:00,69,1.3611112,45.81,4.02,0wPaUv5+uD,watch
174,0,12,2021-07-20 08:23:00,12,1.1666666,8.8,0.46,0wPaUv5+uD,watch
175,0,11,2021-07-20 08:24:00,11,1.4166666,8.41,0.43,H+Z7fnaA5S,phone
176,0,51,2021-07-20 08:33:00,67,1.4722222,47.86,2.67,H+Z7fnaA5S,phone
177,2,61,2021-07-20 08:33:00,63,1.9166666,48.74,2.49,0wPaUv5+uD,watch
178,0,54,2021-07-20 08:34:00,54,1.4166666,41.38,2.13,H+Z7fnaA5S,phone
179,0,46,2021-07-20 08:34:00,46,1.3878683,35.041,1.76,0wPaUv5+uD,watch
180,0,19,2021-07-20 08:35:00,19,1.5277777,14.75,0.75,H+Z7fnaA5S,phone
181,0,17,2021-07-20 08:35:00,17,1.2777778,12.48,0.66,0wPaUv5+uD,watch
182,0,31,2021-07-20 08:36:00,31,1.5277778,24.3,1.24,H+Z7fnaA5S,phone
183,0,28,2021-07-20 08:36:00,28,1.5763752,22.17,1.08,0wPaUv5+uD,watch
184,0,27,2021-07-20 08:38:00,43,1.4722222,29.18,2.61,H+Z7fnaA5S,phone
185,0,19,2021-07-20 08:38:00,19,1.4166666,14.25,0.81,0wPaUv5+uD,watch
186,0,40,2021-07-20 08:39:00,47,1.4284861,34.470005,2.2199998,H+Z7fnaA5S,phone
187,0,42,2021-07-20 08:39:00,42,1.3611112,29.11,2.18,0wPaUv5+uD,watch
188,0,8,2021-07-20 08:40:00,5,1.3888888,3.84,0.2,H+Z7fnaA5S,phone
189,0,22,2021-07-20 08:40:00,22,1.3962154,16.58,0.86,0wPaUv5+uD,watch
190,0,11,2021-07-20 08:41:00,11,1.75,8.679,0.4,0wPaUv5+uD,watch
191,0,22,2021-07-20 08:44:00,22,0.9722222,15.24,0.98,0wPaUv5+uD,watch
192,2,20,2021-07-20 08:45:00,22,1.8611112,18.63,1.24,0wPaUv5+uD,watch
193,0,32,2021-07-20 11:57:00,32,1.2777778,24.01,1.26,H+Z7fnaA5S,phone
194,0,11,2021-07-20 11:57:00,11,1.5555556,8.66,0.39,0wPaUv5+uD,watch
195,0,29,2021-07-20 11:58:00,29,1.3906581,22.190002,1.15,H+Z7fnaA5S,phone
196,0,30,2021-07-20 11:58:00,30,1.6111112,23.87,1.08,0wPaUv5+uD,watch
197,0,28,2021-07-20 11:59:00,28,1.3333334,21.11,1.11,H+Z7fnaA5S,phone
198,0,19,2021-07-20 11:59:00,19,1.3611112,14.42,0.72,0wPaUv5+uD,watch
199,0,61,2021-07-20 12:12:00,81,1.5,56.72,3.14,H+Z7fnaA5S,phone
200,0,60,2021-07-20 12:12:00,60,1.5555556,47.2,2.26,0wPaUv5+uD,watch
201,0,29,2021-07-20 12:13:00,29,1.3888888,21.93,1.15,H+Z7fnaA5S,phone
202,0,25,2021-07-20 12:13:00,25,1.5277778,19.62,0.96,0wPaUv5+uD,watch
203,0,35,2021-07-20 12:22:00,35,1.3945963,26.27,1.37,H+Z7fnaA5S,phone
204,0,19,2021-07-20 12:22:00,19,1.0277778,13.37,0.79,0wPaUv5+uD,watch
205,0,13,2021-07-20 12:23:00,13,1.0000001,9.51,0.51,H+Z7fnaA5S,phone
206,0,17,2021-07-20 12:23:00,17,1.5833334,12.98,0.64,0wPaUv5+uD,watch
207,0,63,2021-07-20 12:24:00,63,1.1459206,46.320007,2.5199993,H+Z7fnaA5S,phone
208,0,72,2021-07-20 12:24:00,72,1.25,53.58,2.95,0wPaUv5+uD,watch
209,0,18,2021-07-20 12:26:00,18,1.2777778,13.49,0.71,H+Z7fnaA5S,phone
210,0,15,2021-07-20 12:26:00,15,1.25,11.09,0.61,0wPaUv5+uD,watch
211,0,21,2021-07-20 12:33:00,21,1.0555556,15.29,0.83,H+Z7fnaA5S,phone
