,timestamp,device,uuid,step,hour,date,weekday
0,2021-07-15 00:16:00,phone,7kbKgzPy7Z,39,0,2021-07-15,3
1,2021-07-15 00:17:00,phone,7kbKgzPy7Z,55,0,2021-07-15,3
2,2021-07-15 02:45:00,phone,7kbKgzPy7Z,20,2,2021-07-15,3
3,2021-07-15 02:46:00,phone,7kbKgzPy7Z,8,2,2021-07-15,3
4,2021-07-15 10:25:00,phone,7kbKgzPy7Z,14,10,2021-07-15,3
5,2021-07-15 10:55:00,phone,7kbKgzPy7Z,6,10,2021-07-15,3
6,2021-07-15 11:30:00,phone,7kbKgzPy7Z,14,11,2021-07-15,3
7,2021-07-15 11:31:00,phone,7kbKgzPy7Z,113,11,2021-07-15,3
8,2021-07-15 11:32:00,phone,7kbKgzPy7Z,12,11,2021-07-15,3
9,2021-07-15 11:48:00,phone,7kbKgzPy7Z,16,11,2021-07-15,3
10,2021-07-15 11:49:00,phone,7kbKgzPy7Z,105,11,2021-07-15,3
11,2021-07-15 11:50:00,phone,7kbKgzPy7Z,76,11,2021-07-15,3
12,2021-07-15 11:51:00,phone,7kbKgzPy7Z,43,11,2021-07-15,3
13,2021-07-15 11:52:00,phone,7kbKgzPy7Z,22,11,2021-07-15,3
14,2021-07-15 11:53:00,phone,7kbKgzPy7Z,91,11,2021-07-15,3
15,2021-07-15 11:54:00,phone,7kbKgzPy7Z,74,11,2021-07-15,3
16,2021-07-15 12:14:00,phone,7kbKgzPy7Z,71,12,2021-07-15,3
17,2021-07-15 12:15:00,phone,7kbKgzPy7Z,111,12,2021-07-15,3
18,2021-07-15 12:16:00,phone,7kbKgzPy7Z,11,12,2021-07-15,3
19,2021-07-15 13:05:00,phone,7kbKgzPy7Z,80,13,2021-07-15,3
20,2021-07-15 13:06:00,phone,7kbKgzPy7Z,100,13,2021-07-15,3
21,2021-07-15 13:08:00,phone,7kbKgzPy7Z,7,13,2021-07-15,3
22,2021-07-15 13:16:00,phone,7kbKgzPy7Z,31,13,2021-07-15,3
23,2021-07-15 13:17:00,phone,7kbKgzPy7Z,91,13,2021-07-15,3
24,2021-07-15 13:18:00,phone,7kbKgzPy7Z,99,13,2021-07-15,3
25,2021-07-15 13:19:00,phone,7kbKgzPy7Z,95,13,2021-07-15,3
