,timestamp,device,uuid,step,hour,date,weekday
66,2021-07-15 21:59:00,watch,LOvq0xwXXz,22,21,2021-07-15,3
67,2021-07-15 22:02:00,phone,tlKEeKeQte,13,22,2021-07-15,3
68,2021-07-15 22:03:00,phone,tlKEeKeQte,45,22,2021-07-15,3
69,2021-07-15 22:03:00,watch,LOvq0xwXXz,74,22,2021-07-15,3
70,2021-07-15 22:22:00,phone,tlKEeKeQte,26,22,2021-07-15,3
71,2021-07-15 22:22:00,watch,LOvq0xwXXz,27,22,2021-07-15,3
72,2021-07-15 22:23:00,phone,tlKEeKeQte,12,22,2021-07-15,3
73,2021-07-15 22:23:00,watch,LOvq0xwXXz,13,22,2021-07-15,3
74,2021-07-15 22:48:00,watch,LOvq0xwXXz,23,22,2021-07-15,3
75,2021-07-15 22:49:00,watch,LOvq0xwXXz,17,22,2021-07-15,3
76,2021-07-15 22:53:00,watch,LOvq0xwXXz,27,22,2021-07-15,3
77,2021-07-15 22:54:00,watch,LOvq0xwXXz,19,22,2021-07-15,3
78,2021-07-15 22:55:00,watch,LOvq0xwXXz,29,22,2021-07-15,3
79,2021-07-15 22:56:00,watch,LOvq0xwXXz,26,22,2021-07-15,3
80,2021-07-15 22:57:00,watch,LOvq0xwXXz,11,22,2021-07-15,3
81,2021-07-15 22:58:00,watch,LOvq0xwXXz,108,22,2021-07-15,3
82,2021-07-15 22:59:00,watch,LOvq0xwXXz,103,22,2021-07-15,3
83,2021-07-15 23:00:00,watch,LOvq0xwXXz,96,23,2021-07-15,3
84,2021-07-15 23:01:00,watch,LOvq0xwXXz,114,23,2021-07-15,3
85,2021-07-15 23:02:00,watch,LOvq0xwXXz,135,23,2021-07-15,3
86,2021-07-15 23:03:00,watch,LOvq0xwXXz,125,23,2021-07-15,3
87,2021-07-15 23:04:00,watch,LOvq0xwXXz,48,23,2021-07-15,3
88,2021-07-15 23:05:00,watch,LOvq0xwXXz,133,23,2021-07-15,3
89,2021-07-15 23:06:00,watch,LOvq0xwXXz,109,23,2021-07-15,3
90,2021-07-15 23:07:00,watch,LOvq0xwXXz,85,23,2021-07-15,3
91,2021-07-15 23:08:00,watch,LOvq0xwXXz,89,23,2021-07-15,3
92,2021-07-15 23:09:00,watch,LOvq0xwXXz,100,23,2021-07-15,3
93,2021-07-15 23:10:00,watch,LOvq0xwXXz,45,23,2021-07-15,3
94,2021-07-15 23:11:00,watch,LOvq0xwXXz,125,23,2021-07-15,3
95,2021-07-15 23:12:00,watch,LOvq0xwXXz,121,23,2021-07-15,3
96,2021-07-15 23:13:00,watch,LOvq0xwXXz,71,23,2021-07-15,3
97,2021-07-15 23:14:00,watch,LOvq0xwXXz,124,23,2021-07-15,3
98,2021-07-15 23:15:00,watch,LOvq0xwXXz,113,23,2021-07-15,3
99,2021-07-15 23:16:00,watch,LOvq0xwXXz,64,23,2021-07-15,3
100,2021-07-15 23:17:00,watch,LOvq0xwXXz,32,23,2021-07-15,3
101,2021-07-15 23:18:00,watch,LOvq0xwXXz,82,23,2021-07-15,3
102,2021-07-15 23:19:00,watch,LOvq0xwXXz,130,23,2021-07-15,3
103,2021-07-15 23:20:00,watch,LOvq0xwXXz,110,23,2021-07-15,3
104,2021-07-15 23:21:00,watch,LOvq0xwXXz,102,23,2021-07-15,3
105,2021-07-15 23:22:00,watch,LOvq0xwXXz,87,23,2021-07-15,3
106,2021-07-15 23:23:00,watch,LOvq0xwXXz,92,23,2021-07-15,3
107,2021-07-15 23:24:00,watch,LOvq0xwXXz,120,23,2021-07-15,3
108,2021-07-15 23:25:00,watch,LOvq0xwXXz,99,23,2021-07-15,3
109,2021-07-15 23:30:00,watch,LOvq0xwXXz,22,23,2021-07-15,3
110,2021-07-15 23:31:00,watch,LOvq0xwXXz,128,23,2021-07-15,3
111,2021-07-15 23:32:00,watch,LOvq0xwXXz,85,23,2021-07-15,3
112,2021-07-15 23:33:00,watch,LOvq0xwXXz,104,23,2021-07-15,3
113,2021-07-15 23:34:00,watch,LOvq0xwXXz,67,23,2021-07-15,3
114,2021-07-15 23:35:00,watch,LOvq0xwXXz,66,23,2021-07-15,3
