,timestamp,step,device
0,2021-10-27 09:18:00,17.0,phone
1,2021-10-27 09:29:00,6.0,phone
2,2021-10-27 09:44:00,15.0,phone
3,2021-10-27 09:48:00,31.0,watch
4,2021-10-27 09:49:00,14.0,watch
5,2021-10-27 09:50:00,17.0,phone
6,2021-10-27 09:50:00,42.0,watch
7,2021-10-27 09:51:00,34.0,phone
8,2021-10-27 09:52:00,57.0,phone
9,2021-10-27 09:52:00,53.0,watch
10,2021-10-27 09:53:00,128.0,phone
11,2021-10-27 09:53:00,130.0,watch
12,2021-10-27 09:54:00,135.0,phone
13,2021-10-27 09:54:00,135.0,watch
14,2021-10-27 09:55:00,129.0,phone
15,2021-10-27 09:55:00,128.0,watch
16,2021-10-27 09:56:00,140.0,phone
17,2021-10-27 09:56:00,137.0,watch
18,2021-10-27 09:57:00,134.0,phone
19,2021-10-27 09:57:00,135.0,watch
20,2021-10-27 09:58:00,133.0,phone
21,2021-10-27 09:58:00,136.0,watch
22,2021-10-27 09:59:00,102.0,phone
23,2021-10-27 09:59:00,136.0,watch
24,2021-10-27 10:00:00,80.0,phone
25,2021-10-27 10:00:00,95.0,watch
26,2021-10-27 10:01:00,78.0,phone
27,2021-10-27 10:01:00,37.0,watch
28,2021-10-27 10:02:00,31.0,phone
29,2021-10-27 10:02:00,20.0,watch
30,2021-10-27 10:09:00,13.0,watch
31,2021-10-27 10:10:00,39.0,phone
32,2021-10-27 10:10:00,15.0,watch
33,2021-10-27 10:11:00,53.0,phone
34,2021-10-27 10:11:00,29.0,watch
35,2021-10-27 10:12:00,17.0,watch
36,2021-10-27 10:14:00,13.0,phone
37,2021-10-27 10:15:00,10.0,watch
38,2021-10-27 10:16:00,10.0,watch
39,2021-10-27 10:19:00,12.0,watch
40,2021-10-27 10:20:00,48.0,phone
41,2021-10-27 10:20:00,38.0,watch
42,2021-10-27 10:21:00,7.0,phone
43,2021-10-27 10:22:00,99.0,phone
44,2021-10-27 10:22:00,94.0,watch
45,2021-10-27 10:23:00,97.0,phone
46,2021-10-27 10:23:00,89.0,watch
47,2021-10-27 10:24:00,45.0,watch
48,2021-10-27 10:25:00,7.0,phone
49,2021-10-27 10:26:00,50.0,phone
50,2021-10-27 10:26:00,40.0,watch
51,2021-10-27 10:27:00,60.0,phone
52,2021-10-27 10:27:00,72.0,watch
53,2021-10-27 10:28:00,68.0,phone
54,2021-10-27 10:28:00,15.0,watch
55,2021-10-27 10:29:00,44.0,phone
56,2021-10-27 10:29:00,33.0,watch
