,timestamp,step,device
126,2021-07-15 11:22:00,102.0,watch
127,2021-07-15 11:23:00,106.0,phone
128,2021-07-15 11:23:00,96.0,watch
129,2021-07-15 11:24:00,68.0,phone
130,2021-07-15 11:24:00,68.0,watch
131,2021-07-15 11:25:00,8.0,phone
132,2021-07-15 11:25:00,13.0,watch
133,2021-07-15 11:26:00,67.0,phone
134,2021-07-15 11:26:00,68.0,watch
135,2021-07-15 11:27:00,108.0,phone
136,2021-07-15 11:27:00,107.0,watch
137,2021-07-15 11:28:00,109.0,phone
138,2021-07-15 11:28:00,106.0,watch
139,2021-07-15 11:29:00,83.0,phone
140,2021-07-15 11:29:00,86.0,watch
141,2021-07-15 11:30:00,45.0,phone
142,2021-07-15 11:30:00,63.0,watch
143,2021-07-15 11:31:00,24.0,phone
144,2021-07-15 11:31:00,25.0,watch
145,2021-07-15 11:32:00,88.0,phone
146,2021-07-15 11:32:00,89.0,watch
147,2021-07-15 11:33:00,110.0,phone
148,2021-07-15 11:33:00,106.0,watch
149,2021-07-15 11:34:00,109.0,phone
150,2021-07-15 11:34:00,107.0,watch
151,2021-07-15 11:35:00,81.0,phone
152,2021-07-15 11:35:00,101.0,watch
153,2021-07-15 11:36:00,122.0,phone
154,2021-07-15 11:36:00,104.0,watch
155,2021-07-15 11:37:00,112.0,phone
156,2021-07-15 11:37:00,108.0,watch
157,2021-07-15 11:38:00,111.0,phone
158,2021-07-15 11:38:00,109.0,watch
159,2021-07-15 11:39:00,90.0,phone
160,2021-07-15 11:39:00,81.0,watch
161,2021-07-15 11:40:00,110.0,phone
162,2021-07-15 11:40:00,95.0,watch
163,2021-07-15 11:41:00,52.0,phone
164,2021-07-15 11:41:00,50.0,watch
165,2021-07-15 11:42:00,16.0,watch
166,2021-07-15 11:44:00,10.0,phone
167,2021-07-15 11:45:00,109.0,phone
168,2021-07-15 11:45:00,98.0,watch
169,2021-07-15 11:46:00,53.0,phone
170,2021-07-15 11:46:00,46.0,watch
171,2021-07-15 11:53:00,59.0,phone
172,2021-07-15 11:53:00,50.0,watch
173,2021-07-15 11:56:00,30.0,phone
174,2021-07-15 11:56:00,53.0,watch
175,2021-07-15 11:57:00,60.0,phone
176,2021-07-15 11:57:00,55.0,watch
177,2021-07-15 11:58:00,65.0,phone
178,2021-07-15 11:58:00,57.0,watch
179,2021-07-15 11:59:00,110.0,phone
180,2021-07-15 11:59:00,110.0,watch
181,2021-07-15 12:00:00,106.0,phone
182,2021-07-15 12:00:00,81.0,watch
183,2021-07-15 12:01:00,47.0,phone
184,2021-07-15 12:01:00,66.0,watch
185,2021-07-15 12:02:00,12.0,watch
186,2021-07-15 12:03:00,13.0,watch
187,2021-07-15 12:04:00,12.0,phone
188,2021-07-15 12:04:00,13.0,watch
189,2021-07-15 12:06:00,10.0,watch
190,2021-07-15 12:07:00,6.0,phone
191,2021-07-15 12:08:00,7.0,phone
192,2021-07-15 12:09:00,17.0,phone
193,2021-07-15 12:10:00,2.0,phone
194,2021-07-15 12:14:00,43.0,phone
195,2021-07-15 12:14:00,30.0,watch
196,2021-07-15 12:25:00,6.0,phone
197,2021-07-15 12:29:00,9.0,phone
198,2021-07-15 12:30:00,86.0,phone
199,2021-07-15 12:30:00,71.0,watch
200,2021-07-15 12:31:00,94.0,phone
201,2021-07-15 12:31:00,109.0,watch
202,2021-07-15 12:32:00,109.0,phone
203,2021-07-15 12:32:00,111.0,watch
204,2021-07-15 12:33:00,110.0,phone
205,2021-07-15 12:33:00,114.0,watch
206,2021-07-15 12:34:00,81.0,phone
207,2021-07-15 12:34:00,82.0,watch
208,2021-07-15 12:35:00,48.0,phone
209,2021-07-15 12:35:00,60.0,watch
210,2021-07-15 12:36:00,114.0,phone
211,2021-07-15 12:36:00,115.0,watch
212,2021-07-15 12:37:00,54.0,phone
213,2021-07-15 12:37:00,60.0,watch
214,2021-07-15 12:39:00,66.0,phone
215,2021-07-15 12:39:00,72.0,watch
216,2021-07-15 12:40:00,110.0,phone
217,2021-07-15 12:40:00,112.0,watch
218,2021-07-15 12:41:00,108.0,phone
