Phone Exercise Day difference: 0.059 users: 28, days:135
        uid       date  weekday  hour    pstep         SPM
125333  P80 2021-08-01        6    22   2424.0  101.000000
125622  P80 2021-08-09        0    22   4459.0  103.697674
125824  P80 2021-08-16        0    21   4341.0  103.357143
125941  P81 2021-10-30        5    10   4448.0  117.052632
126391  P81 2021-11-07        6    16   1154.0  104.909091
126676  P81 2021-11-13        5    12   4316.0   81.433962
126677  P81 2021-11-13        5    13   3049.0  117.269231
127065  P81 2021-11-20        5    15   5421.0   86.047619
139521  P90 2021-08-06        4    10   2118.0  105.900000
139967  P90 2021-08-18        2     8   1180.0  107.272727
140030  P90 2021-08-20        4     8   1302.0  108.500000
145000  P95 2021-10-30        5    10   3644.0   95.894737
145006  P95 2021-10-30        5    12   5136.0   77.818182
145030  P95 2021-10-31        6    12   3191.0   99.718750
145657  P95 2021-11-20        5    10   1174.0  106.727273
145704  P95 2021-11-21        6    18   3645.0   88.902439
145825  P95 2021-11-26        4    12   1674.0  104.625000
148247  P97 2021-08-14        5     8   4215.0   93.666667
150222  P99 2021-08-02        0    21   8346.0  112.783784
Watch Exercise Day difference: 0.047 users: 12, days:75
        uid       date  weekday  hour    wstep         SPM
1141    P02 2021-07-15        3    17   9270.0  120.389610
1205    P02 2021-07-19        0    17   7248.0  111.507692
1206    P02 2021-07-19        0    18   5442.0  132.731707
1232    P02 2021-07-21        2    21   4574.0   87.961538
1233    P02 2021-07-21        2    22   5699.0  123.891304
1245    P02 2021-07-23        4    20  12311.0  108.946903
1265    P02 2021-07-24        5    18  10723.0  120.483146
1317    P02 2021-07-26        0    18   4930.0  123.250000
1346    P02 2021-07-28        2    21   6897.0   98.528571
1399    P02 2021-07-30        4    21   6790.0   94.305556
1456    P02 2021-08-03        1    18  10248.0  126.518519
1486    P02 2021-08-05        3    18  11070.0  112.959184
1497    P02 2021-08-06        4    21   3613.0   73.734694
1504    P02 2021-08-07        5    18  13299.0  117.690265
1519    P02 2021-08-08        6    17   7896.0   95.132530
