loading...
Topic # 1
Doc: ('P03', Timestamp('2021-11-23 00:00:00'), 7.5), Topic Prob: 0.852
Doc: ('P02', Timestamp('2021-08-14 00:00:00'), 15.0), Topic Prob: 0.851
Doc: ('P05', Timestamp('2021-10-20 00:00:00'), 16.0), Topic Prob: 0.849
Doc: ('P05', Timestamp('2021-10-25 00:00:00'), 11.5), Topic Prob: 0.847
Doc: ('P03', Timestamp('2021-12-06 00:00:00'), 6.5), Topic Prob: 0.846
Doc: ('P05', Timestamp('2021-10-21 00:00:00'), 14.0), Topic Prob: 0.843
Doc: ('P05', Timestamp('2021-10-19 00:00:00'), 15.0), Topic Prob: 0.841
Doc: ('P01', Timestamp('2021-07-16 00:00:00'), 13.5), Topic Prob: 0.832
Doc: ('P05', Timestamp('2021-10-20 00:00:00'), 21.5), Topic Prob: 0.831
Doc: ('P05', Timestamp('2021-10-20 00:00:00'), 6.5), Topic Prob: 0.828
Doc: ('P05', Timestamp('2021-10-19 00:00:00'), 8.5), Topic Prob: 0.822
Doc: ('P01', Timestamp('2021-07-17 00:00:00'), 14.0), Topic Prob: 0.818
Doc: ('P01', Timestamp('2021-07-28 00:00:00'), 12.5), Topic Prob: 0.817
Doc: ('P05', Timestamp('2021-10-28 00:00:00'), 22.0), Topic Prob: 0.817
Doc: ('P05', Timestamp('2021-10-19 00:00:00'), 23.0), Topic Prob: 0.816
Doc: ('P05', Timestamp('2021-10-19 00:00:00'), 10.5), Topic Prob: 0.815
Doc: ('P03', Timestamp('2021-11-14 00:00:00'), 10.5), Topic Prob: 0.806
Doc: ('P05', Timestamp('2021-10-30 00:00:00'), 12.5), Topic Prob: 0.805
Doc: ('P05', Timestamp('2021-10-15 00:00:00'), 16.5), Topic Prob: 0.804
Doc: ('P05', Timestamp('2021-10-26 00:00:00'), 11.0), Topic Prob: 0.798
Doc: ('P05', Timestamp('2021-10-20 00:00:00'), 14.5), Topic Prob: 0.796
Doc: ('P03', Timestamp('2021-12-11 00:00:00'), 18.5), Topic Prob: 0.795
Doc: ('P05', Timestamp('2021-10-30 00:00:00'), 19.0), Topic Prob: 0.793
Doc: ('P01', Timestamp('2021-07-16 00:00:00'), 21.0), Topic Prob: 0.791
Doc: ('P03', Timestamp('2021-11-23 00:00:00'), 7.0), Topic Prob: 0.79
Doc: ('P03', Timestamp('2021-11-23 00:00:00'), 10.5), Topic Prob: 0.789
Doc: ('P05', Timestamp('2021-10-19 00:00:00'), 20.5), Topic Prob: 0.784
Doc: ('P01', Timestamp('2021-07-16 00:00:00'), 12.0), Topic Prob: 0.783
Doc: ('P05', Timestamp('2021-10-19 00:00:00'), 10.0), Topic Prob: 0.778
------------------------------
Topic # 9
Doc: ('P05', Timestamp('2021-10-18 00:00:00'), 7.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 12.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 10.5), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-08-11 00:00:00'), 13.5), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-08-05 00:00:00'), 17.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 20.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-08-05 00:00:00'), 21.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-22 00:00:00'), 5.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 23.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 13.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 15.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 13.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-21 00:00:00'), 15.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 19.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 12.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-08-11 00:00:00'), 14.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 17.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-29 00:00:00'), 10.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-21 00:00:00'), 20.5), Topic Prob: 0.98
Doc: ('P01', Timestamp('2021-08-12 00:00:00'), 9.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 18.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-22 00:00:00'), 9.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 12.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-21 00:00:00'), 11.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-23 00:00:00'), 15.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-18 00:00:00'), 18.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 10.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-25 00:00:00'), 20.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-25 00:00:00'), 18.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 8.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 14.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 21.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-25 00:00:00'), 19.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 11.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-22 00:00:00'), 11.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 13.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-22 00:00:00'), 9.5), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-08-11 00:00:00'), 7.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-22 00:00:00'), 10.5), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-08-10 00:00:00'), 18.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-25 00:00:00'), 18.5), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-08-10 00:00:00'), 19.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-18 00:00:00'), 8.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 11.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 8.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-18 00:00:00'), 4.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-21 00:00:00'), 21.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-19 00:00:00'), 10.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-03 00:00:00'), 19.0), Topic Prob: 0.98
------------------------------
Topic # 11
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 20.0), Topic Prob: 0.98
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 18.0), Topic Prob: 0.98
Doc: ('P02', Timestamp('2021-07-26 00:00:00'), 16.0), Topic Prob: 0.98
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 8.0), Topic Prob: 0.98
Doc: ('P01', Timestamp('2021-08-03 00:00:00'), 23.0), Topic Prob: 0.949
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 11.0), Topic Prob: 0.937
Doc: ('P01', Timestamp('2021-07-30 00:00:00'), 13.5), Topic Prob: 0.895
Doc: ('P03', Timestamp('2021-12-10 00:00:00'), 22.5), Topic Prob: 0.886
Doc: ('P01', Timestamp('2021-08-03 00:00:00'), 22.5), Topic Prob: 0.885
Doc: ('P02', Timestamp('2021-07-17 00:00:00'), 17.0), Topic Prob: 0.882
Doc: ('P03', Timestamp('2021-12-10 00:00:00'), 14.0), Topic Prob: 0.876
Doc: ('P03', Timestamp('2021-12-10 00:00:00'), 14.5), Topic Prob: 0.873
Doc: ('P03', Timestamp('2021-12-10 00:00:00'), 3.5), Topic Prob: 0.85
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 18.5), Topic Prob: 0.849
Doc: ('P01', Timestamp('2021-08-03 00:00:00'), 20.0), Topic Prob: 0.845
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 16.0), Topic Prob: 0.84
Doc: ('P03', Timestamp('2021-12-10 00:00:00'), 11.0), Topic Prob: 0.838
Doc: ('P02', Timestamp('2021-08-12 00:00:00'), 23.0), Topic Prob: 0.835
Doc: ('P01', Timestamp('2021-08-05 00:00:00'), 18.5), Topic Prob: 0.834
Doc: ('P03', Timestamp('2021-12-10 00:00:00'), 20.0), Topic Prob: 0.833
Doc: ('P03', Timestamp('2021-12-02 00:00:00'), 8.0), Topic Prob: 0.828
Doc: ('P03', Timestamp('2021-12-10 00:00:00'), 10.0), Topic Prob: 0.828
Doc: ('P03', Timestamp('2021-12-09 00:00:00'), 20.5), Topic Prob: 0.825
Doc: ('P03', Timestamp('2021-12-02 00:00:00'), 9.0), Topic Prob: 0.822
Doc: ('P02', Timestamp('2021-07-25 00:00:00'), 9.5), Topic Prob: 0.82
Doc: ('P02', Timestamp('2021-07-26 00:00:00'), 12.0), Topic Prob: 0.82
Doc: ('P03', Timestamp('2021-12-10 00:00:00'), 13.5), Topic Prob: 0.818
Doc: ('P05', Timestamp('2021-10-16 00:00:00'), 7.0), Topic Prob: 0.81
Doc: ('P05', Timestamp('2021-10-25 00:00:00'), 9.0), Topic Prob: 0.81
Doc: ('P03', Timestamp('2021-12-08 00:00:00'), 13.0), Topic Prob: 0.809
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 22.0), Topic Prob: 0.808
Doc: ('P02', Timestamp('2021-07-24 00:00:00'), 18.0), Topic Prob: 0.801
Doc: ('P01', Timestamp('2021-08-03 00:00:00'), 22.0), Topic Prob: 0.8
Doc: ('P03', Timestamp('2021-12-11 00:00:00'), 0.5), Topic Prob: 0.798
Doc: ('P04', Timestamp('2021-08-06 00:00:00'), 18.0), Topic Prob: 0.796
Doc: ('P04', Timestamp('2021-07-23 00:00:00'), 15.0), Topic Prob: 0.795
Doc: ('P02', Timestamp('2021-07-23 00:00:00'), 10.0), Topic Prob: 0.793
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 11.5), Topic Prob: 0.787
Doc: ('P04', Timestamp('2021-07-15 00:00:00'), 19.0), Topic Prob: 0.783
Doc: ('P01', Timestamp('2021-08-14 00:00:00'), 20.5), Topic Prob: 0.783
Doc: ('P04', Timestamp('2021-08-12 00:00:00'), 16.5), Topic Prob: 0.783
Doc: ('P01', Timestamp('2021-08-16 00:00:00'), 10.5), Topic Prob: 0.777
Doc: ('P03', Timestamp('2021-11-24 00:00:00'), 19.5), Topic Prob: 0.777
Doc: ('P03', Timestamp('2021-12-02 00:00:00'), 8.5), Topic Prob: 0.776
Doc: ('P02', Timestamp('2021-07-18 00:00:00'), 20.5), Topic Prob: 0.775
Doc: ('P02', Timestamp('2021-07-22 00:00:00'), 11.5), Topic Prob: 0.774
Doc: ('P04', Timestamp('2021-07-21 00:00:00'), 4.5), Topic Prob: 0.771
Doc: ('P02', Timestamp('2021-07-25 00:00:00'), 22.0), Topic Prob: 0.769
Doc: ('P01', Timestamp('2021-08-04 00:00:00'), 10.0), Topic Prob: 0.767
------------------------------
Topic # 7
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 9.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 14.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 23.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 0.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 13.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 11.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 11.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 10.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 16.5), Topic Prob: 0.934
Doc: ('P04', Timestamp('2021-07-27 00:00:00'), 20.5), Topic Prob: 0.927
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 8.5), Topic Prob: 0.927
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 20.0), Topic Prob: 0.923
Doc: ('P03', Timestamp('2021-12-06 00:00:00'), 9.5), Topic Prob: 0.923
Doc: ('P03', Timestamp('2021-11-28 00:00:00'), 8.5), Topic Prob: 0.905
