loading...
Topic # 9
Doc: ('P56', Timestamp('2021-08-11 00:00:00')), Topic Prob: 0.98
Doc: ('P13', Timestamp('2021-08-02 00:00:00')), Topic Prob: 0.98
Doc: ('P38', Timestamp('2021-07-30 00:00:00')), Topic Prob: 0.98
Doc: ('P08', Timestamp('2021-11-16 00:00:00')), Topic Prob: 0.98
Doc: ('P08', Timestamp('2021-10-31 00:00:00')), Topic Prob: 0.98
Doc: ('P08', Timestamp('2021-11-19 00:00:00')), Topic Prob: 0.98
Doc: ('P31', Timestamp('2021-11-26 00:00:00')), Topic Prob: 0.98
Doc: ('P23', Timestamp('2021-07-20 00:00:00')), Topic Prob: 0.98
Doc: ('P56', Timestamp('2021-08-16 00:00:00')), Topic Prob: 0.98
Doc: ('P08', Timestamp('2021-10-22 00:00:00')), Topic Prob: 0.98
Doc: ('P77', Timestamp('2021-12-09 00:00:00')), Topic Prob: 0.98
Doc: ('P23', Timestamp('2021-08-09 00:00:00')), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-12 00:00:00')), Topic Prob: 0.98
Doc: ('P56', Timestamp('2021-07-30 00:00:00')), Topic Prob: 0.98
Doc: ('P95', Timestamp('2021-11-25 00:00:00')), Topic Prob: 0.98
Doc: ('P13', Timestamp('2021-07-28 00:00:00')), Topic Prob: 0.98
Doc: ('P41', Timestamp('2021-11-19 00:00:00')), Topic Prob: 0.98
Doc: ('P23', Timestamp('2021-06-30 00:00:00')), Topic Prob: 0.98
Doc: ('P14', Timestamp('2021-10-18 00:00:00')), Topic Prob: 0.98
Doc: ('P13', Timestamp('2021-07-21 00:00:00')), Topic Prob: 0.98
Doc: ('P76', Timestamp('2021-11-27 00:00:00')), Topic Prob: 0.98
Doc: ('P01', Timestamp('2021-07-28 00:00:00')), Topic Prob: 0.98
Doc: ('P08', Timestamp('2021-11-01 00:00:00')), Topic Prob: 0.98
Doc: ('P84', Timestamp('2021-07-18 00:00:00')), Topic Prob: 0.98
Doc: ('P59', Timestamp('2021-11-19 00:00:00')), Topic Prob: 0.98
Doc: ('P13', Timestamp('2021-08-03 00:00:00')), Topic Prob: 0.98
Doc: ('P08', Timestamp('2021-10-28 00:00:00')), Topic Prob: 0.98
Doc: ('P96', Timestamp('2021-10-19 00:00:00')), Topic Prob: 0.98
Doc: ('P99', Timestamp('2021-08-07 00:00:00')), Topic Prob: 0.98
Doc: ('P96', Timestamp('2021-10-25 00:00:00')), Topic Prob: 0.98
Doc: ('P87', Timestamp('2021-07-25 00:00:00')), Topic Prob: 0.98
Doc: ('P24', Timestamp('2021-11-30 00:00:00')), Topic Prob: 0.98
Doc: ('P42', Timestamp('2021-11-15 00:00:00')), Topic Prob: 0.98
Doc: ('P49', Timestamp('2021-12-02 00:00:00')), Topic Prob: 0.98
Doc: ('P49', Timestamp('2021-11-09 00:00:00')), Topic Prob: 0.98
Doc: ('P49', Timestamp('2021-11-08 00:00:00')), Topic Prob: 0.98
Doc: ('P22', Timestamp('2021-11-04 00:00:00')), Topic Prob: 0.98
Doc: ('P53', Timestamp('2021-07-26 00:00:00')), Topic Prob: 0.98
Doc: ('P70', Timestamp('2021-08-18 00:00:00')), Topic Prob: 0.98
Doc: ('P49', Timestamp('2021-11-30 00:00:00')), Topic Prob: 0.98
Doc: ('P49', Timestamp('2021-11-12 00:00:00')), Topic Prob: 0.98
Doc: ('P45', Timestamp('2021-08-04 00:00:00')), Topic Prob: 0.98
Doc: ('P24', Timestamp('2021-11-19 00:00:00')), Topic Prob: 0.98
Doc: ('P68', Timestamp('2021-11-24 00:00:00')), Topic Prob: 0.98
Doc: ('P14', Timestamp('2021-10-20 00:00:00')), Topic Prob: 0.98
Doc: ('P61', Timestamp('2021-11-02 00:00:00')), Topic Prob: 0.98
